codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02140;'0000621;339048;24/02/2025;'00051560119420;ARIOSVALDO FREIRE DA SILVA;1500.0;1250.0
201157;02110;'0002657;339036;12/05/2025;'00005319766459;ARLETE ARAÚJO DA SILVA;771.43;771.43
201157;02080;'0000730;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;10000.0;10000.0
201157;02080;'0000731;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;10000.0;10000.0
201157;02080;'0000735;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;10000.0;10000.0
201157;02080;'0000738;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;10000.0;10000.0
201157;02060;'0000739;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;1200.0;1200.0
201157;02080;'0000741;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;4800.0;4800.0
201157;02080;'0000747;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;6000.0;6000.0
201157;02080;'0000749;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;1800.0;1800.0
201157;02060;'0000750;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;1200.0;1200.0
201157;02080;'0000752;339039;26/02/2025;'41201592000197;ARNOBIO TEIXEIRA DE BRITO LYRA JUNIOR;1200.0;1200.0
